Lugar de origen;Sexo;Medida;Valor;
Andalucía;Hombres;Emigraciones;146019;
Andalucía;Mujeres;Emigraciones;138866;
Andalucía;Ambos sexos;Emigraciones;284885;
Almería;Hombres;Emigraciones;19170;
Almería;Mujeres;Emigraciones;15988;
Almería;Ambos sexos;Emigraciones;35158;
Abla;Hombres;Emigraciones;33;
Abla;Mujeres;Emigraciones;32;
Abla;Ambos sexos;Emigraciones;65;
Abrucena;Hombres;Emigraciones;36;
Abrucena;Mujeres;Emigraciones;39;
Abrucena;Ambos sexos;Emigraciones;75;
Adra;Hombres;Emigraciones;422;
Adra;Mujeres;Emigraciones;385;
Adra;Ambos sexos;Emigraciones;807;
Albánchez;Hombres;Emigraciones;28;
Albánchez;Mujeres;Emigraciones;18;
Albánchez;Ambos sexos;Emigraciones;46;
Alboloduy;Hombres;Emigraciones;11;
Alboloduy;Mujeres;Emigraciones;16;
Alboloduy;Ambos sexos;Emigraciones;27;
Albox;Hombres;Emigraciones;226;
Albox;Mujeres;Emigraciones;223;
Albox;Ambos sexos;Emigraciones;449;
Alcolea;Hombres;Emigraciones;15;
Alcolea;Mujeres;Emigraciones;12;
Alcolea;Ambos sexos;Emigraciones;27;
Alcóntar;Hombres;Emigraciones;13;
Alcóntar;Mujeres;Emigraciones;18;
Alcóntar;Ambos sexos;Emigraciones;31;
Alcudia de Monteagud;Hombres;Emigraciones;10;
Alcudia de Monteagud;Mujeres;Emigraciones;5;
Alcudia de Monteagud;Ambos sexos;Emigraciones;15;
Alhabia;Hombres;Emigraciones;8;
Alhabia;Mujeres;Emigraciones;12;
Alhabia;Ambos sexos;Emigraciones;20;
Alhama de Almería;Hombres;Emigraciones;72;
Alhama de Almería;Mujeres;Emigraciones;71;
Alhama de Almería;Ambos sexos;Emigraciones;143;
Alicún;Hombres;Emigraciones;2;
Alicún;Mujeres;Emigraciones;3;
Alicún;Ambos sexos;Emigraciones;5;
Almería (capital);Hombres;Emigraciones;3862;
Almería (capital);Mujeres;Emigraciones;3510;
Almería (capital);Ambos sexos;Emigraciones;7372;
Almócita;Hombres;Emigraciones;1;
Almócita;Mujeres;Emigraciones;3;
Almócita;Ambos sexos;Emigraciones;4;
Alsodux;Hombres;Emigraciones;5;
Alsodux;Mujeres;Emigraciones;5;
Alsodux;Ambos sexos;Emigraciones;10;
Antas;Hombres;Emigraciones;70;
Antas;Mujeres;Emigraciones;76;
Antas;Ambos sexos;Emigraciones;146;
Arboleas;Hombres;Emigraciones;267;
Arboleas;Mujeres;Emigraciones;246;
Arboleas;Ambos sexos;Emigraciones;513;
Armuña de Almanzora;Hombres;Emigraciones;3;
Armuña de Almanzora;Mujeres;Emigraciones;5;
Armuña de Almanzora;Ambos sexos;Emigraciones;8;
Bacares;Hombres;Emigraciones;11;
Bacares;Mujeres;Emigraciones;13;
Bacares;Ambos sexos;Emigraciones;24;
Bayárcal;Hombres;Emigraciones;19;
Bayárcal;Mujeres;Emigraciones;8;
Bayárcal;Ambos sexos;Emigraciones;27;
Bayarque;Hombres;Emigraciones;6;
Bayarque;Mujeres;Emigraciones;4;
Bayarque;Ambos sexos;Emigraciones;10;
Bédar;Hombres;Emigraciones;117;
Bédar;Mujeres;Emigraciones;112;
Bédar;Ambos sexos;Emigraciones;229;
Beires;Hombres;Emigraciones;3;
Beires;Mujeres;Emigraciones;7;
Beires;Ambos sexos;Emigraciones;10;
Benahadux;Hombres;Emigraciones;160;
Benahadux;Mujeres;Emigraciones;141;
Benahadux;Ambos sexos;Emigraciones;301;
Benitagla;Hombres;Emigraciones;3;
Benitagla;Mujeres;Emigraciones;3;
Benitagla;Ambos sexos;Emigraciones;6;
Benizalón;Hombres;Emigraciones;8;
Benizalón;Mujeres;Emigraciones;8;
Benizalón;Ambos sexos;Emigraciones;16;
Bentarique;Hombres;Emigraciones;6;
Bentarique;Mujeres;Emigraciones;3;
Bentarique;Ambos sexos;Emigraciones;9;
Berja;Hombres;Emigraciones;262;
Berja;Mujeres;Emigraciones;204;
Berja;Ambos sexos;Emigraciones;466;
Canjáyar;Hombres;Emigraciones;38;
Canjáyar;Mujeres;Emigraciones;34;
Canjáyar;Ambos sexos;Emigraciones;72;
Cantoria;Hombres;Emigraciones;72;
Cantoria;Mujeres;Emigraciones;78;
Cantoria;Ambos sexos;Emigraciones;150;
Carboneras;Hombres;Emigraciones;156;
Carboneras;Mujeres;Emigraciones;143;
Carboneras;Ambos sexos;Emigraciones;299;
Castro de Filabres;Hombres;Emigraciones;4;
Castro de Filabres;Mujeres;Emigraciones;7;
Castro de Filabres;Ambos sexos;Emigraciones;11;
Chercos;Hombres;Emigraciones;3;
Chercos;Mujeres;Emigraciones;5;
Chercos;Ambos sexos;Emigraciones;8;
Chirivel;Hombres;Emigraciones;35;
Chirivel;Mujeres;Emigraciones;29;
Chirivel;Ambos sexos;Emigraciones;64;
Cóbdar;Hombres;Emigraciones;8;
Cóbdar;Mujeres;Emigraciones;6;
Cóbdar;Ambos sexos;Emigraciones;14;
Cuevas del Almanzora;Hombres;Emigraciones;269;
Cuevas del Almanzora;Mujeres;Emigraciones;242;
Cuevas del Almanzora;Ambos sexos;Emigraciones;511;
Dalías;Hombres;Emigraciones;49;
Dalías;Mujeres;Emigraciones;62;
Dalías;Ambos sexos;Emigraciones;111;
Ejido (El);Hombres;Emigraciones;2532;
Ejido (El);Mujeres;Emigraciones;1710;
Ejido (El);Ambos sexos;Emigraciones;4242;
Enix;Hombres;Emigraciones;18;
Enix;Mujeres;Emigraciones;12;
Enix;Ambos sexos;Emigraciones;30;
Felix;Hombres;Emigraciones;14;
Felix;Mujeres;Emigraciones;11;
Felix;Ambos sexos;Emigraciones;25;
Fines;Hombres;Emigraciones;55;
Fines;Mujeres;Emigraciones;34;
Fines;Ambos sexos;Emigraciones;89;
Fiñana;Hombres;Emigraciones;45;
Fiñana;Mujeres;Emigraciones;44;
Fiñana;Ambos sexos;Emigraciones;89;
Fondón;Hombres;Emigraciones;21;
Fondón;Mujeres;Emigraciones;30;
Fondón;Ambos sexos;Emigraciones;51;
Gádor;Hombres;Emigraciones;64;
Gádor;Mujeres;Emigraciones;63;
Gádor;Ambos sexos;Emigraciones;127;
Gallardos (Los);Hombres;Emigraciones;182;
Gallardos (Los);Mujeres;Emigraciones;165;
Gallardos (Los);Ambos sexos;Emigraciones;347;
Garrucha;Hombres;Emigraciones;352;
Garrucha;Mujeres;Emigraciones;275;
Garrucha;Ambos sexos;Emigraciones;627;
Gérgal;Hombres;Emigraciones;36;
Gérgal;Mujeres;Emigraciones;29;
Gérgal;Ambos sexos;Emigraciones;65;
Huécija;Hombres;Emigraciones;10;
Huécija;Mujeres;Emigraciones;9;
Huécija;Ambos sexos;Emigraciones;19;
Huércal de Almería;Hombres;Emigraciones;384;
Huércal de Almería;Mujeres;Emigraciones;390;
Huércal de Almería;Ambos sexos;Emigraciones;774;
Huércal-Overa;Hombres;Emigraciones;657;
Huércal-Overa;Mujeres;Emigraciones;509;
Huércal-Overa;Ambos sexos;Emigraciones;1166;
Illar;Hombres;Emigraciones;9;
Illar;Mujeres;Emigraciones;13;
Illar;Ambos sexos;Emigraciones;22;
Instinción;Hombres;Emigraciones;10;
Instinción;Mujeres;Emigraciones;8;
Instinción;Ambos sexos;Emigraciones;18;
Laroya;Hombres;Emigraciones;14;
Laroya;Mujeres;Emigraciones;11;
Laroya;Ambos sexos;Emigraciones;25;
Láujar de Andarax;Hombres;Emigraciones;37;
Láujar de Andarax;Mujeres;Emigraciones;32;
Láujar de Andarax;Ambos sexos;Emigraciones;69;
Líjar;Hombres;Emigraciones;13;
Líjar;Mujeres;Emigraciones;12;
Líjar;Ambos sexos;Emigraciones;25;
Lubrín;Hombres;Emigraciones;30;
Lubrín;Mujeres;Emigraciones;29;
Lubrín;Ambos sexos;Emigraciones;59;
Lucainena de las Torres;Hombres;Emigraciones;16;
Lucainena de las Torres;Mujeres;Emigraciones;20;
Lucainena de las Torres;Ambos sexos;Emigraciones;36;
Lúcar;Hombres;Emigraciones;17;
Lúcar;Mujeres;Emigraciones;18;
Lúcar;Ambos sexos;Emigraciones;35;
Macael;Hombres;Emigraciones;71;
Macael;Mujeres;Emigraciones;86;
Macael;Ambos sexos;Emigraciones;157;
María;Hombres;Emigraciones;17;
María;Mujeres;Emigraciones;23;
María;Ambos sexos;Emigraciones;40;
Mojácar;Hombres;Emigraciones;137;
Mojácar;Mujeres;Emigraciones;132;
Mojácar;Ambos sexos;Emigraciones;269;
Mojonera (La);Hombres;Emigraciones;225;
Mojonera (La);Mujeres;Emigraciones;168;
Mojonera (La);Ambos sexos;Emigraciones;393;
Nacimiento;Hombres;Emigraciones;19;
Nacimiento;Mujeres;Emigraciones;12;
Nacimiento;Ambos sexos;Emigraciones;31;
Níjar;Hombres;Emigraciones;1289;
Níjar;Mujeres;Emigraciones;787;
Níjar;Ambos sexos;Emigraciones;2076;
Ohanes;Hombres;Emigraciones;14;
Ohanes;Mujeres;Emigraciones;15;
Ohanes;Ambos sexos;Emigraciones;29;
Olula de Castro;Hombres;Emigraciones;4;
Olula de Castro;Mujeres;Emigraciones;5;
Olula de Castro;Ambos sexos;Emigraciones;9;
Olula del Río;Hombres;Emigraciones;120;
Olula del Río;Mujeres;Emigraciones;123;
Olula del Río;Ambos sexos;Emigraciones;243;
Oria;Hombres;Emigraciones;32;
Oria;Mujeres;Emigraciones;39;
Oria;Ambos sexos;Emigraciones;71;
Padules;Hombres;Emigraciones;18;
Padules;Mujeres;Emigraciones;12;
Padules;Ambos sexos;Emigraciones;30;
Partaloa;Hombres;Emigraciones;9;
Partaloa;Mujeres;Emigraciones;19;
Partaloa;Ambos sexos;Emigraciones;28;
Paterna del Río;Hombres;Emigraciones;16;
Paterna del Río;Mujeres;Emigraciones;13;
Paterna del Río;Ambos sexos;Emigraciones;29;
Pechina;Hombres;Emigraciones;79;
Pechina;Mujeres;Emigraciones;104;
Pechina;Ambos sexos;Emigraciones;183;
Pulpí;Hombres;Emigraciones;149;
Pulpí;Mujeres;Emigraciones;125;
Pulpí;Ambos sexos;Emigraciones;274;
Purchena;Hombres;Emigraciones;47;
Purchena;Mujeres;Emigraciones;35;
Purchena;Ambos sexos;Emigraciones;82;
Rágol;Hombres;Emigraciones;7;
Rágol;Mujeres;Emigraciones;4;
Rágol;Ambos sexos;Emigraciones;11;
Rioja;Hombres;Emigraciones;31;
Rioja;Mujeres;Emigraciones;34;
Rioja;Ambos sexos;Emigraciones;65;
Roquetas de Mar;Hombres;Emigraciones;3066;
Roquetas de Mar;Mujeres;Emigraciones;2390;
Roquetas de Mar;Ambos sexos;Emigraciones;5456;
Santa Cruz de Marchena;Hombres;Emigraciones;15;
Santa Cruz de Marchena;Mujeres;Emigraciones;10;
Santa Cruz de Marchena;Ambos sexos;Emigraciones;25;
Santa Fe de Mondújar;Hombres;Emigraciones;13;
Santa Fe de Mondújar;Mujeres;Emigraciones;10;
Santa Fe de Mondújar;Ambos sexos;Emigraciones;23;
Senés;Hombres;Emigraciones;9;
Senés;Mujeres;Emigraciones;11;
Senés;Ambos sexos;Emigraciones;20;
Serón;Hombres;Emigraciones;38;
Serón;Mujeres;Emigraciones;47;
Serón;Ambos sexos;Emigraciones;85;
Sierro;Hombres;Emigraciones;7;
Sierro;Mujeres;Emigraciones;1;
Sierro;Ambos sexos;Emigraciones;8;
Somontín;Hombres;Emigraciones;5;
Somontín;Mujeres;Emigraciones;12;
Somontín;Ambos sexos;Emigraciones;17;
Sorbas;Hombres;Emigraciones;72;
Sorbas;Mujeres;Emigraciones;76;
Sorbas;Ambos sexos;Emigraciones;148;
Suflí;Hombres;Emigraciones;10;
Suflí;Mujeres;Emigraciones;8;
Suflí;Ambos sexos;Emigraciones;18;
