"CPMN","FNAC"
6050,19900706
11020,20040731
11028,19940108
18021,19610226
18087,19950816
18087,19791009
18087,19221125
41060,19630216
41091,19931231
8019,19791109
18059,19450308
18173,19980128
21041,19750530
11020,19750801
11006,19501106
13098,19490822
29067,19620308
11012,19260409
11031,19991002
11031,19991005
11031,19991002
23050,19950308
29069,19841027
18087,19770916
42173,19950201
23027,19560717
11012,20081028
23060,19981211
23050,20060215
29067,20131119
11022,19880123
18181,19531001
11006,19700407
11006,19950615
11012,19930418
11008,20150907
18089,19640917
23007,19350830
23020,19710707
41091,19530929
11020,19680308
18049,19600529
18147,19950422
18087,19961118
18102,19950430
14055,19470610
11004,19870418
11022,19651023
14021,19781201
14029,19751121
14021,19960330
11020,20060120
28079,19820819
11031,19671229
14021,19421003
18089,19760329
41004,19651227
4013,20140106
14021,19770812
14050,19260417
23086,19950530
23086,19970101
11012,20140124
23050,20120608
11006,20031122
8245,19870228
34131,19400801
14037,19850912
14058,19450911
18087,19430923
18087,19901226
18087,19980708
18087,19960518
29067,20100422
23058,19960104
18038,19370908
14017,19941107
23050,19570414
11020,20041113
18087,19791208
4037,19780314
23005,19970820
23060,19981123
23020,19981224
41053,19871214
14021,19980427
14021,20040325
18087,19941120
18038,19441029
18022,19301112
23050,19600107
14021,20140813
66345,19660308
14035,19280308
18099,19701130
11018,19530222
6074,19880115
11020,19990518
14021,20050513
18020,19350508
23035,19740908
29001,20121009
41091,19950926
11023,19370118
11012,19951208
23056,19691115
18154,19460312
8019,19710924
23098,19400313
41091,19460223
11020,19990607
14014,19520208
23050,19651013
23060,19290713
23060,19661222
29051,19650607
18004,19640824
29067,19691209
41053,20080917
66348,19700224
41091,20120918
41091,20150225
23063,19290514
11030,20121011
11029,20120831
14058,20080904
29094,19760603
23050,19220522
11020,19741005
11029,19760723
18003,19640327
18022,19451227
23050,19950513
23050,19650618
29067,19970908
41039,19860925
41091,19951112
41039,19990111
14060,19930226
14021,19961107
18165,19340710
18193,19510629
18193,19411206
21053,19801205
23018,19441008
23087,20080708
11020,19660309
41058,19280504
41021,19991105
18154,19630617
18173,19671014
18087,19950108
23055,19370308
23092,19620308
29067,19740808
